Nombre_archivo,Size_archivo,Size_Comprimido_Bytes,Compresion_Promedio_ms,Compresion_Desv_Estandar,Descompresion_Promedio_ms,Descompresion_Desv_Estandar 

..\Textos\dna.txt,1MB,6197400,201.2,11.8474,161.167,4.10758
..\Textos\dna.txt,5MB,30904576,967,49.2727,838.567,46.6424
..\Textos\xml.txt,1MB,7020696,198.8,10.2548,208.867,21.9328
..\Textos\xml.txt,5MB,34879248,1022.2,85.7925,1002.8,42.718
..\Textos\english.txt,1MB,7237784,207.4,13.7128,198.367,10.1603
..\Textos\english.txt,5MB,36436904,1094.2,55.81,993.8,15.374
..\Textos\pitches.txt,1MB,7923024,285.8,67.4237,250.3,37.7608
..\Textos\pitches.txt,5MB,39946704,1146,83.9917,1124.37,24.8911
..\Textos\proteins.txt,1MB,7840440,229.4,19.9509,233.4,28.8058
..\Textos\proteins.txt,5MB,39332640,1165.8,74.2345,1144.73,56.6298
..\Textos\sources.txt,1MB,7572528,232.4,37.1973,211.6,8.60078
..\Textos\sources.txt,5MB,37500016,1087.4,86.0676,1036.33,11.5883
